competence,similarite,meilleur_match_pe,module_pe,statut
configurer les équipements réseau,0.9304,Méthodes de configuration des équipements réseau,SN_MQ2,ALIGNE
Administrer le réseau local,0.9249,Configurer un réseau local,SN_MQ2,ALIGNE
gérer les VLAN,0.9127,Création des VLAN,SN_MQ2,ALIGNE
Configurer les adresses IP,0.6616,IPsec,SN_MQ8,GAP
Gérer le service DNS interne,0.8705,Installation et configuration du service DNS,SN_MQ5,ALIGNE
Mettre en place les règles de pare-feu,0.7616,Mise en place d’un pare-feu réseau,SN_MQ10,GAP
Superviser l'état du réseau,0.94,Supervision du fonctionnement du réseau,SN_MQ15,ALIGNE
résoudre les pannes réseau,0.8275,Diagnostic des pannes réseau,SN_MQ15,ALIGNE
maintenance préventive du réseau,0.9124,Maintenance préventive des réseaux locaux,SN_MQ15,ALIGNE
Documenter les configurations réseau,0.8469,Configuration de l’authentification réseau,SN_MQ10,ALIGNE
configuration des switchs,0.6556,Fonctionnement des switchs VLAN,SN_MQ2,GAP
sécurité réseau,0.9933,Sécurité réseau,SN_MQ10,ALIGNE
Windows Server,0.919,Approbations Windows Server,SN_MQ9,ALIGNE
Administrer les serveurs Windows,0.8683,Approbations Windows Server,SN_MQ9,ALIGNE
Gérer Active Directory,0.9199,Active Directory,SN_MQ4,ALIGNE
les comptes utilisateurs,0.8667,Gestion des comptes utilisateurs dans un domaine,SN_MQ4,ALIGNE
administrer le réseau LAN,0.8291,Réseau local LAN,SN_MQ15,ALIGNE
Mettre en place des stratégies de sauvegarde,0.9844,Mise en œuvre d’une stratégie de sauvegarde,SN_MQ11,ALIGNE
Sécuriser le réseau,0.9731,Sécurité réseau,SN_MQ10,ALIGNE
Gérer les accès VPN,0.9447,VPN,SN_MQ8,ALIGNE
les sites distants,0.6141,Accès réseau distant,SN_MQ7,GAP
Superviser les performances du réseau,0.8945,Supervision du fonctionnement du réseau,SN_MQ15,ALIGNE
Assurer la maintenance curative,0.6933,Application des procédures de maintenance,SN_MQ14,GAP
configurer les nouveaux équipements,0.831,Configuration du matériel,SN_MQ1,ALIGNE
projets d'évolution du réseau,0.8879,Réalisation de plans réseau,SN_MQ5,ALIGNE
Active Directory,1.0,Active Directory,SN_MQ4,ALIGNE
protocoles réseau,0.9955,Protocoles réseau,SN_MQ15,ALIGNE
sécurité informatique,0.8997,Sécurisation des réseaux informatiques,SN_MQ10,ALIGNE
procédures de sauvegarde,0.9275,Mise en œuvre de sauvegardes différentielles,SN_MQ11,ALIGNE
configurer les postes de travail,0.8756,Configuration de l’environnement de travail,SN_MQ1,ALIGNE
raccorder les équipements réseau,0.9232,Câbler et connecter les équipements réseau,SN_MQ2,ALIGNE
Configurer les imprimantes réseau,0.6797,Configuration du matériel,SN_MQ1,GAP
Diagnostiquer les pannes matérielles,0.9913,Diagnostic des pannes matérielles,SN_MQ14,ALIGNE
support technique aux utilisateurs,0.7363,Installation et exploitation d’utilitaires,SN_MQ1,GAP
Maintenir le parc informatique,0.8248,Maintenance curative des postes informatiques,SN_MQ14,ALIGNE
gestion du réseau local,0.8535,Configurer un réseau local,SN_MQ2,ALIGNE
Installer les systèmes d'exploitation,0.9863,Installer des systèmes d’exploitation,SN_MQ1,ALIGNE
Gérer les comptes utilisateurs,0.9105,Gestion des comptes utilisateurs dans un domaine,SN_MQ4,ALIGNE
